2025-05-22 04:10:40,408 - Episode 84 | Reward: 1.0 | Steps: 141 | Distance: 0.0
2025-05-22 04:10:40,442 - Episode 85 | Reward: 1.0 | Steps: 401 | Distance: 0.0
2025-05-22 04:10:40,460 - Episode 86 | Reward: 1.0 | Steps: 50 | Distance: 0.0
2025-05-22 04:10:40,475 - Episode 87 | Reward: 1.0 | Steps: 88 | Distance: 0.0
2025-05-22 04:10:40,505 - Episode 88 | Reward: 1.0 | Steps: 240 | Distance: 0.0
2025-05-22 04:10:40,512 - Episode 89 | Reward: 1.0 | Steps: 8 | Distance: 0.0
2025-05-22 04:10:40,523 - Episode 90 | Reward: 1.0 | Steps: 6 | Distance: 0.0
2025-05-22 04:10:40,565 - Episode 91 | Reward: 1.0 | Steps: 117 | Distance: 0.0
2025-05-22 04:10:40,607 - Episode 92 | Reward: 1.0 | Steps: 358 | Distance: 0.0
2025-05-22 04:10:40,643 - Episode 93 | Reward: 1.0 | Steps: 385 | Distance: 0.0
2025-05-22 04:10:40,655 - Episode 94 | Reward: 1.0 | Steps: 23 | Distance: 0.0
2025-05-22 04:10:40,691 - Episode 95 | Reward: 1.0 | Steps: 51 | Distance: 0.0
2025-05-22 04:10:40,716 - Episode 96 | Reward: 1.0 | Steps: 251 | Distance: 0.0
2025-05-22 04:10:40,735 - Episode 97 | Reward: 1.0 | Steps: 190 | Distance: 0.0
2025-05-22 04:10:40,754 - Episode 98 | Reward: 1.0 | Steps: 6 | Distance: 0.0
2025-05-22 04:10:40,769 - Episode 99 | Reward: 1.0 | Steps: 124 | Distance: 0.0
2025-05-22 04:10:40,783 - Episode 100 | Reward: 1.0 | Steps: 75 | Distance: 0.0
2025-05-22 04:10:40,795 - Episode 101 | Reward: 1.0 | Steps: 107 | Distance: 0.0
2025-05-22 04:10:40,849 - Episode 102 | Reward: 1.0 | Steps: 396 | Distance: 0.0
2025-05-22 04:10:40,860 - Episode 103 | Reward: 1.0 | Steps: 118 | Distance: 0.0
2025-05-22 04:10:40,895 - Episode 104 | Reward: 1.0 | Steps: 212 | Distance: 0.0
2025-05-22 04:10:40,904 - Episode 105 | Reward: 1.0 | Steps: 119 | Distance: 0.0
2025-05-22 04:10:40,917 - Episode 106 | Reward: 1.0 | Steps: 87 | Distance: 0.0
