env,algo,run_dir,T_to_target,success,seed,total_timesteps,n_envs,hyperparams_json
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_194436_998689_pid3209024_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 512, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251110_032333_946621_pid3671311_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 512, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_231827_306840_pid3235023_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 1024, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_191239_493861_pid3205149_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 512, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251110_221157_400840_pid3867137_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0001, ""n_steps"": 128, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251111_011422_565271_pid3894854_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0001, ""n_steps"": 128, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251109_060817_713443_pid3291451_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 1024, ""gamma"": 0.995, ""gae_lambda"": 0.97, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_113634_786504_pid3142820_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 256, ""gamma"": 0.995, ""gae_lambda"": 0.97, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251107_220747_642716_pid3012631_seed0,2560000,True,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 128, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251111_190604_891238_pid4078706_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0001, ""n_steps"": 512, ""gamma"": 0.99, ""gae_lambda"": 0.97, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
