env,algo,run_id,seed,r_max,r_end,delta_post,s_final,delta_tol,slope_tol,trend_strict,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_tol_relaxed,slope_tol_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_095608_758801_pid869167_seed0,0,492.4599975585937,369.0199994768415,-123.43999808175221,-95.27999877929688,-24.622999877929686,4.924599975585937,post_peak_degradation,471.6759979248046,492.46002197265625,20.78402404785163,11.18999938964843,-47.167599792480466,9.433519958496092,uncertain
CartPole-v1,a2c,20251026_095619_024809_pid869290_seed0,0,500.0,407.4933342827691,-92.50666571723087,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,5.9599998474121065,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_095619_244554_pid869243_seed0,0,500.0,407.4933342827691,-92.50666571723087,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,5.9599998474121065,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_095623_591214_pid869284_seed0,0,387.4399993896485,282.5249996185303,-104.91499977111823,-43.46000061035156,-19.371999969482427,3.874399993896485,post_peak_degradation,383.8279989624024,277.260009765625,-106.56798919677738,-15.73999982561384,-38.382799896240236,7.676559979248047,post_peak_degradation
CartPole-v1,a2c,20251026_095631_856244_pid869401_seed0,0,387.4399993896485,287.3999995640346,-100.0399998256139,-100.00000000000001,-19.371999969482427,3.874399993896485,post_peak_degradation,384.34399902343756,319.3600158691406,-64.98398315429694,-20.66999969482422,-38.434399902343756,7.686879980468752,post_peak_degradation
CartPole-v1,a2c,20251026_095658_564712_pid869626_seed0,0,430.02000122070314,284.45777791341146,-145.56222330729167,-41.73999938964843,-21.501000061035157,4.300200012207031,post_peak_degradation,406.7160009765625,250.4199981689453,-156.29600280761719,-16.274999999999995,-40.67160009765625,8.13432001953125,post_peak_degradation
CartPole-v1,a2c,20251026_095658_599695_pid869587_seed0,0,467.9,393.37777743869356,-74.52222256130642,-100.0,-23.395,4.679,post_peak_degradation,467.9,442.8600158691406,-25.039984130859352,-6.002499771118167,-46.79,9.358,converged_relaxed
CartPole-v1,a2c,20251026_095659_704981_pid869694_seed0,0,353.5999969482422,296.5028542654855,-57.097142682756726,-100.0,-17.679999847412113,3.5359999694824222,post_peak_degradation,353.5999969482422,353.6000061035156,9.155273403393949e-06,3.6600001017252595,-35.359999694824225,7.0719999389648445,converged_relaxed
CartPole-v1,a2c,20251026_095701_678744_pid869624_seed0,0,494.82000122070315,364.58000139508925,-130.2399998256139,-100.0,-24.74100006103516,4.948200012207032,post_peak_degradation,482.0700012207031,494.82000732421875,12.750006103515659,16.393332926432294,-48.20700012207031,9.641400024414063,uncertain
CartPole-v1,a2c,20251026_095705_816098_pid869731_seed0,0,498.5,394.4755533854167,-104.02444661458333,-98.5,-24.925,4.985,post_peak_degradation,479.41999999999996,498.5,19.08000000000004,3.822500610351561,-47.942,9.5884,converged_relaxed
CartPole-v1,a2c,20251026_095709_462131_pid869791_seed0,0,500.0,410.29142804827006,-89.70857195172994,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,1.5533335367838579,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_095714_451930_pid869850_seed0,0,498.5,394.4755533854167,-104.02444661458333,-98.5,-24.925,4.985,post_peak_degradation,479.41999999999996,498.5,19.08000000000004,3.822500610351561,-47.942,9.5884,converged_relaxed
CartPole-v1,a2c,20251026_095729_220210_pid869968_seed0,0,500.0,410.29142804827006,-89.70857195172994,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,1.5533335367838579,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_121805_185088_pid907721_seed0,0,438.3,331.34000000000003,-106.95999999999998,-41.80000000000001,-21.915000000000003,4.383,post_peak_degradation,419.0,438.29998779296875,19.29998779296875,15.424999999999997,-41.900000000000006,8.38,uncertain
CartPole-v1,a2c,20251026_121805_535089_pid907773_seed0,0,377.4800048828125,287.63600341796877,-89.84400146484376,-86.64000244140624,-18.87400024414063,3.7748000488281255,post_peak_degradation,367.3960046386719,377.4800109863281,10.084006347656214,-17.735000610351562,-36.73960046386719,7.347920092773438,uncertain
CartPole-v1,a2c,20251026_121805_607145_pid907806_seed0,0,476.7200012207031,363.18800048828126,-113.53200073242186,-85.77999877929688,-23.836000061035158,4.767200012207032,post_peak_degradation,458.53200073242186,476.72003173828125,18.188031005859386,5.819999694824219,-45.85320007324219,9.170640014648438,converged_relaxed
CartPole-v1,a2c,20251026_121805_609273_pid907808_seed0,0,232.52000122070314,172.00000122070313,-60.52000000000001,-49.920001220703114,-11.626000061035157,2.3252000122070315,post_peak_degradation,225.03200134277344,232.51998901367188,7.487987670898434,-11.545000457763663,-22.503200134277346,4.500640026855469,uncertain
CartPole-v1,a2c,20251026_121807_594571_pid907898_seed0,0,232.52000122070314,172.00000122070313,-60.52000000000001,-49.920001220703114,-11.626000061035157,2.3252000122070315,post_peak_degradation,225.03200134277344,232.51998901367188,7.487987670898434,-11.545000457763663,-22.503200134277346,4.500640026855469,uncertain
CartPole-v1,a2c,20251026_132103_255313_pid925365_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_172451_357574_pid970712_seed0,0,500.0,465.13999938964844,-34.86000061035156,-100.0,-25.0,5.0,post_peak_degradation,500.0,490.27996826171875,-9.72003173828125,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180219_187198_pid982497_seed0,0,500.0,423.52600036621095,-76.47399963378905,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-0.9333333333333308,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180219_219738_pid982501_seed0,0,500.0,377.58800018310546,-122.41199981689454,-100.0,-25.0,5.0,post_peak_degradation,493.2240008544922,278.67999267578125,-214.54400817871095,-46.813333468967016,-49.322400085449225,9.864480017089845,post_peak_degradation
CartPole-v1,a2c,20251026_180219_224727_pid982493_seed0,0,500.0,463.5,-36.5,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-15.0,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180219_238518_pid982500_seed0,0,500.0,449.4340002441406,-50.56599975585942,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-6.513333468967011,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180219_259769_pid982496_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
