env,algo,run_id,seed,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_eps_relaxed,slope_eps_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_181524_322574_pid985642_seed0,0,500.0,500.0,0.0,-3.695556131998703,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181525_251347_pid985648_seed0,0,500.0,500.0,0.0,-17.824443901909724,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181821_332123_pid986384_seed0,0,500.0,435.8999938964844,-64.10000610351562,-29.34444444444445,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_181822_572146_pid986389_seed0,0,500.0,239.1199951171875,-260.8800048828125,-43.36222245958116,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_181822_817129_pid986390_seed0,0,500.0,500.0,0.0,-4.3933339436848975,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181823_273365_pid986391_seed0,0,420.20800079345696,334.05999755859375,-86.14800323486321,-22.35111083984375,-42.0208000793457,8.40416001586914,post_peak_degradation
CartPole-v1,a2c,20251026_181828_136189_pid986419_seed0,0,500.0,500.0,0.0,-15.73555535210504,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181830_974973_pid986425_seed0,0,420.20800079345696,334.05999755859375,-86.14800323486321,-22.35111083984375,-42.0208000793457,8.40416001586914,post_peak_degradation
CartPole-v1,a2c,20251026_181835_846988_pid986442_seed0,0,500.0,500.0,0.0,-15.73555535210504,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181840_120309_pid986460_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182128_807321_pid987358_seed0,0,500.0,500.0,0.0,-14.58000013563368,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182130_020111_pid987369_seed0,0,500.0,498.97998046875,-1.02001953125,-17.70888875325521,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182132_338414_pid987405_seed0,0,500.0,500.0,0.0,-17.099999999999998,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182134_511418_pid987424_seed0,0,492.1980017089844,407.7799987792969,-84.41800292968753,-25.67111138237847,-49.219800170898445,9.843960034179688,post_peak_degradation
CartPole-v1,a2c,20251026_182138_337535_pid987439_seed0,0,500.0,500.0,0.0,-3.8577779134114585,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_182146_230853_pid987489_seed0,0,492.1980017089844,407.7799987792969,-84.41800292968753,-25.67111138237847,-49.219800170898445,9.843960034179688,post_peak_degradation
CartPole-v1,a2c,20251026_182147_794738_pid987510_seed0,0,500.0,500.0,0.0,-3.8577779134114585,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_182152_531264_pid987528_seed0,0,498.8659991455078,398.1600036621094,-100.70599548339845,-32.88000047471788,-49.886599914550786,9.977319982910156,post_peak_degradation
CartPole-v1,a2c,20251026_182435_461414_pid987959_seed0,0,500.0,500.0,0.0,-12.804444715711801,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182437_330992_pid987964_seed0,0,397.7999987792969,333.760009765625,-64.03998901367191,-3.7755560980902834,-39.7799998779297,7.9559999755859385,post_peak_degradation
CartPole-v1,a2c,20251026_182439_650731_pid987972_seed0,0,470.2679992675781,280.8999938964844,-189.36800537109372,-18.564444139268666,-47.02679992675781,9.405359985351563,post_peak_degradation
CartPole-v1,a2c,20251026_182441_589227_pid987980_seed0,0,500.0,494.1399841308594,-5.860015869140625,-22.28000013563368,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182444_351774_pid987988_seed0,0,497.9140008544922,319.46002197265625,-178.45397888183595,-29.728889634874136,-49.791400085449226,9.958280017089844,post_peak_degradation
CartPole-v1,a2c,20251026_182453_434418_pid988027_seed0,0,500.0,494.1399841308594,-5.860015869140625,-22.28000013563368,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182456_688327_pid988050_seed0,0,497.9140008544922,319.46002197265625,-178.45397888183595,-29.728889634874136,-49.791400085449226,9.958280017089844,post_peak_degradation
CartPole-v1,a2c,20251026_182459_386878_pid988060_seed0,0,498.9,497.44000244140625,-1.4599975585937273,-22.099999999999998,-49.89,9.978,uncertain
CartPole-v1,a2c,20251026_182734_328849_pid988591_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_182742_066315_pid988646_seed0,0,500.0,499.29998779296875,-0.70001220703125,-6.8044443766276,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_182744_082204_pid988651_seed0,0,498.9080017089844,490.27996826171875,-8.628033447265636,-22.362222629123266,-49.890800170898444,9.978160034179687,uncertain
