env,algo,run_dir,n_episodes,sigma_intra_full,sigma_intra_late,learning_rate,ent_coef,n_steps
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_113627_937351_pid896000_seed0,206,103.67237854003906,92.50019836425781,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_113628_007948_pid895992_seed0,129,126.80809020996094,88.50326538085938,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_113629_660548_pid896028_seed0,198,155.15646362304688,176.2506103515625,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_121805_185088_pid907721_seed0,478,185.57965087890625,175.22842407226562,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_121805_535089_pid907773_seed0,476,128.3196563720703,60.97441101074219,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_121805_607145_pid907806_seed0,435,170.43736267089844,152.15908813476562,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_121805_609273_pid907808_seed0,611,117.90753936767578,85.5037841796875,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_121807_594571_pid907898_seed0,611,117.90753936767578,85.5037841796875,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_132103_255313_pid925365_seed0,906,198.15248107910156,6.288917064666748,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_172451_357574_pid970712_seed0,808,171.57408142089844,34.28557586669922,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_187198_pid982497_seed0,990,181.515625,181.58082580566406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_219738_pid982501_seed0,1399,201.7578887939453,171.39500427246094,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_224727_pid982493_seed0,907,188.01693725585938,71.51937103271484,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_238518_pid982500_seed0,1037,188.10145568847656,144.6884002685547,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_259769_pid982496_seed0,880,197.299560546875,0.0,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_273298_pid982499_seed0,1037,188.10145568847656,144.6884002685547,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_284787_pid982498_seed0,866,188.7078399658203,125.60267639160156,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180219_338920_pid982495_seed0,880,197.299560546875,0.0,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180526_705900_pid983247_seed0,786,174.59002685546875,0.0,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180528_944678_pid983253_seed0,1298,143.56930541992188,99.83830261230469,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180530_670514_pid983261_seed0,1298,143.56930541992188,99.83830261230469,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180533_587919_pid983269_seed0,1456,193.52760314941406,185.238037109375,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180533_887991_pid983270_seed0,1197,140.31980895996094,113.80315399169922,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180534_402797_pid983275_seed0,1431,137.17930603027344,35.07154083251953,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180536_323341_pid983279_seed0,1431,137.17930603027344,35.07154083251953,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180536_858051_pid983284_seed0,1080,162.6649932861328,167.8832244873047,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180837_560782_pid983952_seed0,965,181.6416778564453,194.93759155273438,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180840_854277_pid983957_seed0,943,174.11419677734375,145.5561981201172,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180844_490683_pid983970_seed0,860,182.80685424804688,53.5132942199707,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180844_951587_pid983974_seed0,916,189.08775329589844,75.08753967285156,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180846_107472_pid983976_seed0,1088,180.66702270507812,173.56369018554688,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180847_732617_pid983980_seed0,916,189.08775329589844,75.08753967285156,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180850_056466_pid983994_seed0,1088,180.66702270507812,173.56369018554688,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_180853_283374_pid984007_seed0,1059,155.4963836669922,152.83009338378906,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181156_745249_pid984747_seed0,810,164.5920867919922,81.02328491210938,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181159_357841_pid984753_seed0,1060,160.88462829589844,142.3061065673828,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181200_361708_pid984760_seed0,867,175.27597045898438,80.38716888427734,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181205_035333_pid984775_seed0,1449,105.15077209472656,89.71907043457031,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181206_012194_pid984780_seed0,864,195.78189086914062,79.02445983886719,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181207_000006_pid984782_seed0,1449,105.15077209472656,89.71907043457031,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181207_863321_pid984783_seed0,864,195.78189086914062,79.02445983886719,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181209_719061_pid984794_seed0,827,166.5599365234375,129.6538848876953,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181508_505700_pid985460_seed0,773,163.04713439941406,34.7169303894043,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181508_872873_pid985461_seed0,834,169.7274627685547,68.77024841308594,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181511_056304_pid985466_seed0,869,181.54461669921875,51.294410705566406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181511_761740_pid985473_seed0,1018,166.89996337890625,150.01171875,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181515_054691_pid985492_seed0,1042,184.91404724121094,145.82708740234375,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181518_521118_pid985505_seed0,1018,166.89996337890625,150.01171875,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181524_322574_pid985642_seed0,1042,184.91404724121094,145.82708740234375,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181525_251347_pid985648_seed0,792,163.4449462890625,89.6734619140625,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181821_332123_pid986384_seed0,949,169.1193084716797,155.82957458496094,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181822_572146_pid986389_seed0,1139,164.92018127441406,130.52935791015625,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181822_817129_pid986390_seed0,1018,177.54959106445312,178.11854553222656,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181823_273365_pid986391_seed0,1119,158.9468994140625,145.1633758544922,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181828_136189_pid986419_seed0,907,194.35777282714844,154.23072814941406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181830_974973_pid986425_seed0,1119,158.9468994140625,145.1633758544922,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181835_846988_pid986442_seed0,907,194.35777282714844,154.23072814941406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_181840_120309_pid986460_seed0,767,167.28079223632812,0.0,,,
