R_max,t_peak,R_end,delta_post,s_final,sigma_final,n_eval,env,algo,run_id,regime
243.2687561035156,3000000.0,239.65811279296878,-3.610643310546834,1.96819588797433,9.62286364598678,150,Hopper-v4,a2c,20251111_201312_568870_pid4089822_seed0,plateau
364.1385986328125,1680000.0,306.08390991210933,-58.054688720703155,2.771608625139509,21.60022218662542,150,Hopper-v4,a2c,20251108_061503_804920_pid3088045_seed0,plateau
329.9456420898438,2300000.0,282.50833038330074,-47.43731170654303,-0.4563637869698636,11.163639740154707,150,Hopper-v4,a2c,20251109_111628_609025_pid3337614_seed0,plateau
1346.03818359375,2740000.0,911.8572247314454,-434.1809588623047,-20.714192417689738,163.20253222620934,150,Hopper-v4,a2c,20251109_131839_176226_pid3358283_seed0,post_peak_degrade
364.33009033203126,1260000.0,340.3666119384766,-23.96347839355468,-0.4678575788225438,5.731007554384856,150,Hopper-v4,a2c,20251108_062533_772596_pid3089616_seed0,plateau
169.69243469238282,2600000.0,168.992815246582,-0.6996194458008063,0.042880467006138394,0.1591622681742284,150,Hopper-v4,a2c,20251110_075822_537322_pid3720457_seed0,plateau
326.8007507324219,3000000.0,303.5042236328125,-23.296527099609364,6.830447605678013,35.17713929442605,150,Hopper-v4,a2c,20251109_003231_258846_pid3247983_seed0,plateau
259.4321594238281,3000000.0,253.69901123046876,-5.733148193359369,0.5470757620675215,2.562772735506156,150,Hopper-v4,a2c,20251110_152138_476990_pid3802040_seed0,plateau
359.00367431640626,2160000.0,335.4684463500977,-23.535227966308582,0.5612461635044659,21.0999033772641,150,Hopper-v4,a2c,20251108_130255_113114_pid3156187_seed0,plateau
307.2325805664062,2800000.0,294.2175054931641,-13.015075073242144,-0.12906799316406087,7.838976031780653,150,Hopper-v4,a2c,20251109_002647_880332_pid3247284_seed0,plateau
177.89744262695314,3000000.0,177.40997009277345,-0.4874725341796875,0.3904876708984375,1.728318522848516,150,Hopper-v4,a2c,20251112_033150_059621_pid4159511_seed0,plateau
2031.9129638671875,2680000.0,1371.0714965820312,-660.8414672851563,-21.034572056361608,292.01215908860235,150,Hopper-v4,a2c,20251107_230144_205144_pid3021701_seed0,post_peak_degrade
320.0656494140625,2600000.0,300.70039672851567,-19.365252685546807,3.0591683523995528,16.61392910092727,150,Hopper-v4,a2c,20251109_233248_774600_pid3632882_seed0,plateau
382.17145385742185,2800000.0,366.6775695800781,-15.493884277343739,1.5721509660993311,8.529107604053545,150,Hopper-v4,a2c,20251109_170355_737633_pid3535814_seed0,plateau
675.410107421875,2300000.0,527.4228527832031,-147.98725463867186,3.416708374023439,48.56866658931353,150,Hopper-v4,a2c,20251108_144636_109871_pid3171694_seed0,post_peak_degrade
174.2564483642578,2780000.0,172.95607971191407,-1.3003686523437352,0.2264700753348206,0.9361579166753966,150,Hopper-v4,a2c,20251111_215408_942060_pid4107312_seed0,plateau
468.5546630859375,2680000.0,370.7772189331055,-97.777444152832,-0.2248923165457565,59.188264230012486,150,Hopper-v4,a2c,20251109_094017_908140_pid3320404_seed0,post_peak_degrade
268.5947326660156,1920000.0,260.3183837890625,-8.27634887695308,0.3221461704799132,1.7449955912048973,150,Hopper-v4,a2c,20251110_030320_146992_pid3668156_seed0,plateau
758.0861572265625,2460000.0,475.1441510009766,-282.9420062255859,-11.789290073939737,57.35104986202798,150,Hopper-v4,a2c,20251109_142602_382567_pid3496462_seed0,post_peak_degrade
743.6428344726562,2640000.0,621.7688549804687,-121.87397949218746,-5.022676740373884,51.11223872284115,150,Hopper-v4,a2c,20251108_095210_007509_pid3125427_seed0,plateau
235.92000427246094,3000000.0,206.0414483642578,-29.87855590820314,4.531937081473215,17.478825315912914,150,Hopper-v4,a2c,20251109_043116_074597_pid3279619_seed0,plateau
360.5808532714844,2080000.0,283.76946624755857,-76.81138702392582,-2.8484547206333724,15.196407497063912,150,Hopper-v4,a2c,20251108_072009_445665_pid3098384_seed0,post_peak_degrade
909.5547119140625,1920000.0,627.2673071289062,-282.28740478515635,21.113784790039062,107.98358464839076,150,Hopper-v4,a2c,20251109_150348_142622_pid3505849_seed0,post_peak_degrade
311.72511596679686,2540000.0,289.70440063476565,-22.020715332031216,1.5970162527901794,11.544823628141916,150,Hopper-v4,a2c,20251109_020046_154728_pid3260461_seed0,plateau
333.7208190917969,2620000.0,305.16109069824216,-28.559728393554735,-0.09282924107142776,5.567019979245554,150,Hopper-v4,a2c,20251109_101813_722328_pid3325923_seed0,plateau
216.8186462402344,2900000.0,213.2389141845703,-3.5797320556640955,0.8186628069196412,4.717595029337279,150,Hopper-v4,a2c,20251110_121250_992732_pid3771459_seed0,plateau
884.1960693359375,2320000.0,658.880518798828,-225.31555053710952,-2.065829031808034,57.923149227998366,150,Hopper-v4,a2c,20251109_135702_715464_pid3409959_seed0,post_peak_degrade
1691.229052734375,2200000.0,991.03541015625,-700.193642578125,-0.527334158761164,102.45804159829727,150,Hopper-v4,a2c,20251108_000239_984344_pid3031974_seed0,post_peak_degrade
665.2268798828125,2320000.0,479.81111328124996,-185.4157666015625,1.1308393205915155,58.930457619011705,150,Hopper-v4,a2c,20251109_143630_332247_pid3499412_seed0,post_peak_degrade
938.037109375,2900000.0,831.9473095703127,-106.08979980468735,8.283306884765627,88.22834500414056,150,Hopper-v4,a2c,20251108_150658_330206_pid3174711_seed0,plateau
